plan_vs_actual.dept_key,plan_vs_actual.division,plan_vs_actual.department,plan_vs_actual.channel,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.has_actual,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.budget_markdown_dollars,plan_vs_actual.budget_receipts_cost,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_markdown_dollars,plan_vs_actual.actual_markdown_dollars,plan_vs_actual.actual_eom_retail,plan_vs_actual.plan_bom_retail,plan_vs_actual.plan_eom_retail,plan_vs_actual.plan_receipts_retail,plan_vs_actual.plan_shrink_dollars
Girls Dresses,Girls,Dresses,Ecommerce,2026,Dec,11,false,508570.48,491120.89,59685.44,144927.88,,61531.99,,,1299133.17,1204311.22,477314.8,2034.28
Girls Dresses,Girls,Dresses,Ecommerce,2026,Nov,10,false,476325.34,453342.36,52212.58,354799.74,,61314.17,,,900451.64,1299133.17,938226.34,1905.3
Girls Dresses,Girls,Dresses,Ecommerce,2025,Dec,11,true,421879.49,416204.14,55011.49,116021.55,472510.23,62251.66,60469.87,964010.7,1157590.17,1012469.87,340698.38,1687.52
Girls Dresses,Girls,Dresses,Ecommerce,2025,Nov,10,true,392635.97,384188.44,56011.05,293002.93,443781.17,47553.95,63041.17,1098473.16,710473.91,1157590.17,888876.72,1570.54
Girls Dresses,Girls,Dresses,Ecommerce,2026,Apr,3,true,382359.01,371488.88,46461.46,240619.96,352023.77,46217.84,42415.81,1120389.93,785301.19,1135298.51,780103.61,1529.44
Girls Dresses,Girls,Dresses,Ecommerce,2024,Dec,11,true,359691.49,365091.35,47498.8,129978.39,328861.83,48518,37195.95,841334.58,963399.17,800682.11,246931.2,1438.77
Girls Dresses,Girls,Dresses,Ecommerce,2026,May,4,true,357640.22,343154.98,50611.24,114442.36,378544.74,52509.44,54296.5,957673.47,1135298.51,1030716.44,306998.15,1430.56
Girls Dresses,Girls,Dresses,Ecommerce,2026,Mar,2,true,343978.45,333710.35,50411.28,167536.61,331476.66,53263.72,59926.17,752873.18,729127.92,785301.19,454791.36,1375.91
Girls Dresses,Girls,Dresses,Ecommerce,2024,Nov,10,true,338028.07,337007.4,42269.8,238119.3,346206.6,46171.29,49323.49,1000075.85,708086.7,963399.17,640863.94,1352.11
Girls Dresses,Girls,Dresses,Ecommerce,2026,Oct,9,false,329740.27,314821.08,41931.63,198104.98,,46865.01,,,682478.16,900451.64,595897.72,1318.96
Girls Dresses,Girls,Dresses,Ecommerce,2026,Jun,5,true,320232.67,311672.87,39354.82,34835.13,355979.64,39068.64,51741.57,721189.3,1030716.44,772338.83,102204.63,1280.93
Girls Dresses,Girls,Dresses,Ecommerce,2025,Apr,3,true,313593.35,314821.08,47404.21,224261.88,382798.84,43516.39,48181.32,830240.73,693125.37,852323.67,517562.41,1254.37
Girls Dresses,Girls,Dresses,Ecommerce,2026,Sep,8,false,308913.08,299080.03,44905.48,79796.31,,47549.69,,,810145.69,682478.16,230030.9,1235.65
Girls Dresses,Girls,Dresses,Ecommerce,2024,Apr,3,true,293261.89,276158.84,39509.73,186904.18,286867.8,35511.53,38380.05,773973.86,559792.36,823527.54,593681.64,1173.05
Girls Dresses,Girls,Dresses,Ecommerce,2026,Aug,7,false,292903.99,277042.55,34935.03,120991.27,,39890.54,,,778483.01,810145.69,365628.82,1171.62
Girls Dresses,Girls,Dresses,Ecommerce,2025,May,4,true,288345.18,290809.31,37797.88,65735.2,296556.4,36404.56,39502.93,753640.22,852323.67,780456.61,254036.06,1153.38
Girls Dresses,Girls,Dresses,Ecommerce,2025,Mar,2,true,287950.65,282805.38,39319.59,155181.61,317083.58,40191.39,40109.51,652799.53,607941.9,693125.37,414477.32,1151.8
Girls Dresses,Girls,Dresses,Ecommerce,2026,Jul,6,true,272007.37,264449.71,32146.77,138966.33,249829.28,34748.87,31079.57,855842.19,772338.83,778483.01,313988.45,1088.03
Girls Dresses,Girls,Dresses,Ecommerce,2025,Oct,9,true,260658.21,266797.53,37030.86,178579.35,254796.05,36098.51,26448.58,688308.78,589782.94,710473.91,418490.33,1042.63
Girls Dresses,Girls,Dresses,Ecommerce,2025,Jun,5,true,258984.58,264129.55,32055.47,40204.76,208348.48,39870.8,46299.74,638649.79,780456.61,606732.83,126167.55,1035.94
Girls Tops,Girls,Tops,Ecommerce,2026,Dec,11,false,251194.74,283338.97,41731.55,55335.62,,33316.76,,,671024.27,544143.79,158635.81,1004.78
Girls Dresses,Girls,Dresses,Ecommerce,2024,May,4,true,249609.73,255095.88,39404.23,109198.52,224783.28,31332.22,38391.53,751214.33,823527.54,713170.05,171582.9,998.44
Girls Dresses,Girls,Dresses,Ecommerce,2025,Sep,8,true,248445.45,253457.65,33426.49,78866.77,256903.59,33319.03,39122.51,575742.49,638198.94,589782.94,234342.27,993.78
Girls Dresses,Girls,Dresses,Ecommerce,2024,Mar,2,true,246933.72,248074.89,33972.61,128602.94,235368.13,36158.09,27674.46,583403.71,484744.29,559792.36,359127.61,987.73
Girls Tops,Girls,Tops,Ecommerce,2025,Dec,11,true,244508.59,240117.78,32869.15,57539.61,231095.45,32220.48,43143.34,537447.11,639736.67,533256.55,171226.99,978.03
Girls Dresses,Girls,Dresses,Ecommerce,2026,Feb,1,true,240459.05,232967.6,32182.82,52370.65,254799.88,36036.77,32273,712841.59,815202.84,729127.92,191382.74,961.84
Girls Dresses,Girls,Dresses,Ecommerce,2024,Oct,9,true,238481.94,234032.92,27988.24,132388.5,198743.79,35924.71,40052.58,702746.81,517419.77,708086.7,466027.5,953.93
Girls Dresses,Girls,Dresses,Retail Stores,2026,Dec,11,false,237126.15,223236.77,22469.08,59934.96,,28420.23,,,587083.97,561851.73,242448.29,2134.14
Girls Tops,Girls,Tops,Ecommerce,2026,Nov,10,false,235648.77,261543.67,30287.37,212538.32,,34630.72,,,488975.3,671024.27,453271.04,942.6
Girls Dresses,Girls,Dresses,Ecommerce,2025,Aug,7,true,234220.56,234781.82,27169.98,114392.33,231655.34,32832.65,36310.61,627700.04,663636.64,638198.94,242552.39,936.88
Girls Dresses,Girls,Dresses,Ecommerce,2024,Jun,5,true,231232.75,231692.59,30767.13,992.26,220019.58,29794.91,27377.11,530875.14,713170.05,515598.41,64380.94,924.93
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Dec,11,false,228245.35,220374.76,31457.97,61798.73,,33149.84,,,572050.91,518985.48,209242.74,912.98
Girls Dresses,Girls,Dresses,Ecommerce,2024,Sep,8,true,226958.41,222331.27,26002.71,64199.25,251613.02,32037.87,33081.47,491593.32,617565.84,517419.77,159758.04,907.83
Girls Tops,Girls,Tops,Ecommerce,2025,Nov,10,true,226709.14,221647.18,33019.34,167883.76,247307.97,30311.2,44715.27,568136.96,425988.85,639736.67,471674.99,906.84
Girls Dresses,Girls,Dresses,Ecommerce,2025,Jul,6,true,221673.41,224109.92,30683.54,90820.99,225269.58,27413.44,33797.25,647584.65,606732.83,663636.64,306877.35,886.69
Girls Dresses,Girls,Dresses,Retail Stores,2026,Nov,10,false,213603.91,206064.71,21232.69,136638.63,,20966.82,,,452074.21,587083.97,371502.92,1922.44
Girls Tops,Girls,Tops,Ecommerce,2024,Dec,11,true,213030.56,210629.63,26111.34,50787.97,229264.4,31751.33,32216.8,495319.18,547579.37,511904.29,209958.93,852.12
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Nov,10,false,205880.17,203422.85,24367.9,156780.1,,29084.86,,,426557.13,572050.91,381282.34,823.52
Girls Dresses,Girls,Dresses,Ecommerce,2024,Aug,7,true,205094.64,205948.97,26599.24,104698.62,204085.28,30733.81,30928.46,657429.86,589278.28,617565.84,264936.38,820.38
Girls Dresses,Girls,Dresses,Ecommerce,2026,Jan,12,false,204503.74,198337.28,25674.97,0,,30968.42,,,1204311.22,968021.04,0,818.01
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Dec,11,false,200855.5,188892.65,28636.91,49715.51,,27870.21,,,537790.08,436924.88,128663.93,803.42
Girls Dresses,Girls,Dresses,Ecommerce,2025,Feb,1,true,199692.76,197430.17,25132.46,37054.51,194742.54,26667.36,28126.66,598522.02,637246.64,607941.9,197854.15,798.77
Girls Dresses,Girls,Dresses,Ecommerce,2024,Jul,6,true,198611.38,196587.65,24834.1,93730.49,209403.92,27708.6,37135.35,568348.33,515598.41,589278.28,300794.3,794.45
Girls Tops,Girls,Tops,Ecommerce,2024,Nov,10,true,195669.73,194427.35,23442.78,137463.67,173758.55,25863.62,28098.86,559720.99,404300.13,547579.37,365595.27,782.68
Girls Sets,Girls,Sets,Ecommerce,2026,Dec,11,false,194624.84,188892.65,26367.82,55197.11,,30147.08,,,487490.15,424831.12,162891.39,778.5
Girls Tops,Girls,Tops,Ecommerce,2026,Apr,3,true,191071.98,214320.51,31162.17,150443.34,196163.55,28163.21,34765.81,496547.64,406534.3,530042.48,343507.66,764.29
Girls Dresses,Girls,Dresses,Wholesale,2026,Feb,1,true,190209.42,182767.95,3161.32,155231.48,198990.41,3605.75,3481.62,203715.45,61792.03,182742.47,314955.81,190.21
Girls Dresses,Girls,Dresses,Retail Stores,2025,Dec,11,true,190065.78,189183.7,18359.4,49423.18,190460.05,19344.32,18909.32,416632.21,466368.71,416484.56,161236.53,1710.59
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Dec,11,true,189781.45,186758.27,28864.42,53428.11,213121.65,24039,33867.65,434372.44,522501.09,455686.48,147764.97,759.13
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Nov,10,false,183803.36,174362.45,26692.25,128849.86,,24236.63,,,374092.84,537790.08,372472.45,735.21
Girls Tops,Girls,Tops,Ecommerce,2025,Apr,3,true,183622.43,181627.55,21316.86,140517.52,153525.6,25787.96,22575.28,573762.64,370156.75,538593.08,378581.21,734.49
Girls Sets,Girls,Sets,Ecommerce,2026,Nov,10,false,179143.75,174362.45,25356.68,113645.24,,24085.58,,,338037.73,487490.15,353398.31,716.58
Girls Dresses,Girls,Dresses,Retail Stores,2026,Apr,3,true,176829.3,168858.58,16113.28,114675.02,196150.33,18171.31,20332.69,469018.71,351381.79,492081.34,337291.63,1591.46
Girls Tops,Girls,Tops,Ecommerce,2025,May,4,true,175975.36,167774.6,25068.52,45950.03,186743.34,23352.58,25415.86,522068.77,538593.08,526897.23,188335.99,703.9
Girls Tops,Girls,Tops,Ecommerce,2026,May,4,true,175857.05,197974.03,24257.77,70459.25,191136.19,26676.21,30711.05,498836.33,530042.48,500824.29,174018.51,703.43
Girls Dresses,Girls,Dresses,Wholesale,2026,Jul,6,true,175432.44,167439.02,3364.86,114945.16,201440.79,3231.32,3584.48,126532.94,132540.87,164984.69,211283.01,175.43
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Nov,10,true,175215.85,172392.25,24545.69,120254.07,164277.72,24352.54,24507.47,546234.63,357612.4,522501.09,365157.94,700.86
Girls Tops,Girls,Tops,Ecommerce,2026,Mar,2,true,173070.68,192525.2,26403.35,89206.79,161899.64,24302.86,24686.67,427358.12,334490.36,406534.3,270109.76,692.28
Girls Dresses,Girls,Dresses,Ecommerce,2024,Feb,1,true,172804.45,173184.36,24643.32,79494.37,180759.55,23564.5,19683.69,506530.2,489398.63,484744.29,192405.83,691.22
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Apr,3,true,170806.66,166693.73,21646.17,108861.57,156328.92,20235.36,22682.45,468469.73,346089.92,481249.44,326884.76,683.23
Girls Dresses,Girls,Dresses,Ecommerce,2025,Jan,12,true,170329.16,168082.44,25010.93,0,176183.9,26256.56,31358.36,804205.74,1012469.87,815202.84,0,681.32
Girls Dresses,Girls,Dresses,Retail Stores,2025,Nov,10,true,170125.81,174631.11,19735.94,136642.26,148236.3,20402.65,25277.18,488191.43,324108.1,466368.71,334320.19,1531.13
Girls Tops,Girls,Tops,Ecommerce,2025,Mar,2,true,167797.7,163156.95,24688.09,83293.85,175301.16,21021.9,23456.86,379845.51,301258.41,370156.75,258389.14,671.19
Girls Dresses,Girls,Dresses,Retail Stores,2024,Dec,11,true,167173.42,165950.62,15316.11,42352.41,171872.91,16163.05,17729.82,355012.17,462985.26,366283.73,88139.5,1504.56
Girls Dresses,Girls,Dresses,Wholesale,2026,Oct,9,false,166754.57,162722.43,2863.51,122642.72,,3196.87,,,107400.39,157425.44,220143.24,166.75
Girls Dresses,Girls,Dresses,Wholesale,2026,Jun,5,true,166743.91,159184.99,3400.58,112133.6,145283.52,3360.45,2799.86,161036.26,66285.16,132540.87,236526.82,166.74
Girls Tops,Girls,Tops,Ecommerce,2024,Apr,3,true,162880.06,159322.41,22652.99,99522.2,159584.36,21937.33,29091.82,480767.31,334285.01,441312.01,292495.91,651.52
Girls Tops,Girls,Tops,Ecommerce,2026,Oct,9,false,162305.48,181627.55,23908.36,107489.83,,20499.67,,,365269.86,488975.3,307159.82,649.22
Girls Dresses,Girls,Dresses,Retail Stores,2024,Nov,10,true,161457.24,153185.18,14690.51,122462.25,161148.12,16751.89,13865.94,442132.77,286501.8,462985.26,356145.7,1453.12
Girls Tops,Girls,Tops,Ecommerce,2026,Jun,5,true,161279.43,179811.27,21496.15,15198.69,144360.96,24010.6,29866.56,356544.87,500824.29,351103.61,36214.46,645.12
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Dec,11,true,160979.94,160078.52,19226.8,45830.02,158863.6,22662.15,27176.35,358839.33,433193.68,357506.48,108598.81,643.92
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Dec,11,true,160916.51,163823.04,24016.38,40326.05,169567.56,20940.37,24518.11,350474.52,440241.12,362832.78,105092.2,643.67
Girls Sets,Girls,Sets,Ecommerce,2025,Dec,11,true,160590.67,160078.52,20987.04,44004.1,155693.16,20455.18,17024.57,366006.5,453893.42,365509.94,93304.73,642.36
Boys Tops,Boys,Tops,Ecommerce,2026,Dec,11,false,160201.92,163240.56,21638.91,48755.67,,18659.47,,,432192.03,375697.63,123007.81,640.81
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,May,4,true,159042.72,153979.8,21341.91,52049.43,176095.86,20623.44,22495.34,434885.16,481249.44,471006.07,170058.96,636.17
Girls Dresses,Girls,Dresses,Retail Stores,2026,Mar,2,true,158804.83,151686.52,16734.6,70254.66,195387.57,15809.26,17326.91,297490.84,306146.65,351381.79,221278.47,1429.24
Girls Dresses,Girls,Dresses,Retail Stores,2026,May,4,true,158714.11,155979.54,18061.99,47293.58,152600.59,17252,22314.56,446456.28,492081.34,448329.26,133642.46,1428.43
Girls Dresses,Girls,Dresses,Wholesale,2025,Feb,1,true,157767.32,154888.09,2673.07,131763.4,142371.66,3034.66,2911.95,196409.16,54983.86,163717.76,269693.64,157.77
Girls Tops,Girls,Tops,Ecommerce,2026,Sep,8,false,156889.14,172546.17,20051,59432.09,,22702.07,,,420223.64,365269.86,125264.98,627.56
Girls Dresses,Girls,Dresses,Wholesale,2026,Mar,2,true,156428.18,153289.25,2717.98,54216.78,153019.22,3450.72,2958.94,126505.26,182742.47,121661.32,98954.18,156.43
Girls Tops,Girls,Tops,Ecommerce,2025,Oct,9,true,155075.16,153921.65,18365.3,103265.09,136849.1,23664.35,24616.74,421697.43,316086.51,425988.85,289262.14,620.3
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Mar,2,true,153868.09,149741.82,21570.46,74023.52,166036.51,23081.62,19397.77,350742.03,304759.42,346089.92,218895.69,615.47
Girls Tops,Girls,Tops,Ecommerce,2025,Jun,5,true,153496.65,152382.43,18856.59,7067.92,133113.97,20602.48,26287.56,374415.27,526897.23,359789.38,7605.26,613.99
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Apr,3,true,152893.24,142880.34,20122.92,103986.47,163112.47,21037.41,28725.51,404332.51,333041.25,419105.56,260606.53,611.57
Boys Tops,Boys,Tops,Ecommerce,2026,Nov,10,false,152293.32,150683.6,20137.29,105937.71,,20002.43,,,313457.05,432192.03,291639.89,609.17
Girls Sets,Girls,Sets,Ecommerce,2025,Nov,10,true,150614.47,147764.78,19363.43,118344.99,151256.92,23004.29,24250.27,445944.6,321146.01,453893.42,306968.63,602.46
Girls Bottoms,Girls,Bottoms,Ecommerce,2025,Nov,10,true,148682.87,147764.78,20371.05,101897.29,145831.56,18315.08,23297.21,421135.27,301097.14,433193.68,299689.23,594.73
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2024,Nov,10,true,148579.18,151221.27,17499.54,113011.07,161836.48,22687.31,29539.02,432844.93,295485.49,440241.12,316616.44,594.32
Girls Dresses,Girls,Dresses,Retail Stores,2026,Oct,9,false,148344.9,143100.49,17059.76,98909.32,,16953.24,,,339718.87,452074.21,278988.59,1335.1
Boys Tops,Boys,Tops,Ecommerce,2025,Dec,11,true,146709.41,138339.46,17036.27,39540.31,145421.7,21444.05,29049,311954.17,365502.76,320902.53,124140.07,586.84
Girls Sets,Girls,Sets,Ecommerce,2026,Apr,3,true,146122.75,142880.34,17576.62,89270.71,130375.25,18903.52,24367.18,397443.4,312386.19,414233.85,267458.43,584.49
Girls Dresses,Girls,Dresses,Retail Stores,2026,Jun,5,true,145979.72,141669.49,14482.32,23337.53,170642.34,16933.23,20323.06,288379.61,448329.26,317471.05,33368.55,1313.82
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Oct,9,false,145831.62,141265.87,17409.54,77669.93,,21279.88,,,307409.95,426557.13,286842,583.33
Girls Dresses,Girls,Dresses,Retail Stores,2025,Apr,3,true,145075.61,143100.49,16861.78,85128.18,146863.65,15402.58,11073.08,420879.56,317339.03,425464.98,269909.81,1305.68
Girls Tops,Girls,Tops,Ecommerce,2024,Mar,2,true,144592.37,143120.13,19262.66,77983.21,149212.48,19131.86,21450.44,331777.78,287446.68,334285.01,211140.93,578.37
Girls Tops,Girls,Tops,Ecommerce,2025,Sep,8,true,143815.73,146225.57,22478.34,44447.05,141661.31,17325.76,19035.69,318832.27,397836.58,316086.51,79966.69,575.26
Girls Dresses,Girls,Dresses,Ecommerce,2024,Jan,12,true,143790.8,147440.74,19008.05,0,138611.38,19069.51,18934.82,642473.4,800682.11,637246.64,0,575.16
Girls Dresses,Girls,Dresses,Retail Stores,2026,Sep,8,false,143658.8,135945.47,12263.93,36100.85,,15616.57,,,361358.8,339718.87,138928.38,1292.93
Baby Rompers,Baby,Rompers,Ecommerce,2026,Dec,11,false,143184.55,146916.51,17226.05,46635.12,,16745.01,,,402468.27,328276.4,86310.43,572.74
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2025,Apr,3,true,143168.36,141265.87,18662.3,96614.55,149826.53,17301.79,23408.71,385903.81,298228.45,410914.78,273729.15,572.67
Girls Tops,Girls,Tops,Ecommerce,2026,Aug,7,false,142683.65,159832.24,21643.48,67815.9,,19726,,,372876,420223.64,210328.03,570.73
Girls Sets,Girls,Sets,Ecommerce,2024,Dec,11,true,142342.3,140419.75,18065.99,40043.66,138790.88,19964.24,22170.59,320295.1,377823.77,316725.1,101777.24,569.37
Girls Tops,Girls,Tops,Ecommerce,2024,May,4,true,142212.82,147170.7,18680.96,50613.24,127055.4,22021,23694.42,451471.07,441312.01,418828.61,142319.26,568.85
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Jun,5,true,141738.85,139853.21,19335.99,18201.1,176573.7,21207.84,23559.37,285706.69,471006.07,324184.51,16692.08,566.96
Girls Dresses,Girls,Dresses,Wholesale,2025,Jul,6,true,140855.43,141897.48,2629.64,95043.87,133862.64,2487.68,2618.14,166158.02,106599.07,147802.41,184687.31,140.86
Girls Dresses,Girls,Dresses,Wholesale,2025,Oct,9,true,139323.55,137900.37,2779.18,99597.7,142582.69,2645.3,2788.79,151845.01,83197.57,140371.37,199281.98,139.32
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,May,4,true,139171,131982.68,17492.95,33392.14,145202.71,16926.63,14276,408766.25,419105.56,422004.94,159553.69,556.68
Girls Dresses,Girls,Dresses,Retail Stores,2025,May,4,true,137730.66,132186.05,13467.77,50993.14,137773.8,14197.87,13738.8,413949.55,425464.98,418325.89,146029.02,1239.58
Girls Tops,Girls,Tops,Ecommerce,2026,Jul,6,true,137551.99,152567.14,21333.39,67855.88,114691.7,18730.59,16834.25,404976.79,351103.61,372876,178605.17,550.21
Girls Sleepwear,Girls,Sleepwear,Ecommerce,2026,Sep,8,false,137112.21,134202.58,19687.8,41169.58,,20430.52,,,354148.46,307409.95,111352.67,548.45
Girls Bottoms,Girls,Bottoms,Ecommerce,2026,Mar,2,true,136652.42,128350.13,15832,60131.02,122831.5,20455.49,25862.61,336186.51,268632.08,333041.25,222063.69,546.61
Girls Tops,Girls,Tops,Ecommerce,2024,Oct,9,true,136616.94,135018.99,18151.23,101309.94,126329.95,21181.18,20041.79,396530.48,313160.42,404300.13,249484.3,546.47
Girls Bottoms,Girls,Bottoms,Ecommerce,2024,Dec,11,true,136011.47,140419.75,18946.39,36826.11,133492.37,17805.29,18694.87,294062.42,394867.11,296426.03,55919.73,544.05
Girls Dresses,Girls,Dresses,Wholesale,2025,Mar,2,true,135129.1,129906.14,2427.89,43096.5,137151.4,2776.48,2598.46,102533.8,163717.76,104539.9,78862.85,135.13
Girls Dresses,Girls,Dresses,Wholesale,2025,Jun,5,true,134622.62,134902.53,2401.77,96910.39,158897.71,2968.33,2600.24,79758.66,52581.81,106599.07,191742.83,134.62
Girls Dresses,Girls,Dresses,Wholesale,2024,Feb,1,true,133981.32,135866.75,2820.04,72285.22,123207.94,2419.13,3063.09,131969.73,128061.02,130379.88,138853.3,133.98
Girls Tops,Girls,Tops,Ecommerce,2024,Sep,8,true,133572.29,128268.04,18006.57,37068.12,155689.12,15941.51,18003.88,266919.74,323380.04,313160.42,139828.46,534.29
Baby Rompers,Baby,Rompers,Ecommerce,2026,Nov,10,false,133144.63,135615.24,15717.3,89968.87,,18106.1,,,266118.92,402468.27,288132.67,532.58
Girls Tops,Girls,Tops,Ecommerce,2024,Jun,5,true,132692.57,133668.8,18119.4,17353.74,153936.35,15913.69,16961.97,276579.72,418828.61,298787.84,29096.26,530.77
Girls Sets,Girls,Sets,Ecommerce,2026,May,4,true,132251.87,131982.68,19323.97,52652.04,146952.06,18314.57,18077.05,372130.45,414233.85,381881.64,118743.24,529.01
