otb.dept_key,otb.division,otb.department,otb.channel,otb.plan_receipts_cost,otb.on_order_cost,otb.open_to_buy_cost
Girls Dresses,Girls,Dresses,Ecommerce,938555.49,805216.04,133339.45
Girls Sets,Girls,Sets,Ecommerce,339608.5,262293.79,77314.71
Girls Tops,Girls,Tops,Ecommerce,451677.48,379160.74,72516.74
Girls Sleepwear,Girls,Sleepwear,Ecommerce,404348.2,338098.74,66249.46
Girls Dresses,Girls,Dresses,Retail Stores,427887.47,361724.6,66162.87
Boys Tops,Boys,Tops,Ecommerce,291807.27,240422.99,51384.28
Baby Rompers,Baby,Rompers,Ecommerce,254921.79,207273.25,47648.54
Girls Bottoms,Girls,Bottoms,Ecommerce,350237.41,303785.88,46451.53
Baby Sleepwear,Baby,Sleepwear,Ecommerce,204507.25,160908.68,43598.57
Boys Bottoms,Boys,Bottoms,Ecommerce,203153.35,160237.03,42916.32
Girls Dresses,Girls,Dresses,Wholesale,294601.78,251891.88,42709.9
Girls Tops,Girls,Tops,Retail Stores,213979.25,172535.72,41443.53
Girls Sleepwear,Girls,Sleepwear,Retail Stores,184091.71,145940.49,38151.22
Girls Bottoms,Girls,Bottoms,Retail Stores,158788.84,126505,32283.84
Girls Tops,Girls,Tops,Wholesale,144664.47,113434.83,31229.64
Girls Swim,Girls,Swim,Ecommerce,165249.77,134252.79,30996.98
Boys Swim,Boys,Swim,Ecommerce,132451.29,107351.19,25100.1
Boys Tops,Boys,Tops,Retail Stores,131626.25,107787.82,23838.43
Women Tops,Women,Tops,Ecommerce,123000.74,100370.26,22630.48
Girls Sets,Girls,Sets,Retail Stores,150570.91,127977.04,22593.87
Baby Rompers,Baby,Rompers,Retail Stores,112631.91,90247.36,22384.55
Girls Sleepwear,Girls,Sleepwear,Wholesale,130520.35,109906.7,20613.65
Baby Accessories,Baby,Accessories,Ecommerce,91310.69,72465.22,18845.47
Women Dresses,Women,Dresses,Ecommerce,98571.38,80192.67,18378.71
Girls Sets,Girls,Sets,Wholesale,108881.49,91337.62,17543.87
Girls Bottoms,Girls,Bottoms,Wholesale,113100.31,96200.36,16899.95
Baby Sets,Baby,Sets,Ecommerce,90714.72,73960.87,16753.85
Baby Sleepwear,Baby,Sleepwear,Retail Stores,92670.89,76033.53,16637.36
Boys Tops,Boys,Tops,Wholesale,93173.77,76819.62,16354.15
Boys Bottoms,Boys,Bottoms,Retail Stores,91803.68,76415.21,15388.47
Women Bottoms,Women,Bottoms,Ecommerce,81635.92,66758.43,14877.49
Baby Sleepwear,Baby,Sleepwear,Wholesale,65563.59,50958.17,14605.42
Baby Rompers,Baby,Rompers,Wholesale,82672.62,69015.16,13657.46
Girls Swim,Girls,Swim,Retail Stores,74018.97,60842.02,13176.95
Boys Sets,Boys,Sets,Ecommerce,90336.88,77600.74,12736.14
Boys Swim,Boys,Swim,Retail Stores,53748.44,41379.84,12368.6
Boys Sleepwear,Boys,Sleepwear,Ecommerce,62835.58,51804.79,11030.79
Women Sleepwear,Women,Sleepwear,Ecommerce,61450.78,51877.01,9573.77
Women Dresses,Women,Dresses,Retail Stores,45633.53,36340.2,9293.33
Women Tops,Women,Tops,Retail Stores,53832.51,44769.27,9063.24
Girls Outerwear,Girls,Outerwear,Ecommerce,54017.41,45055,8962.41
Girls Swim,Girls,Swim,Wholesale,53395.1,44773.47,8621.63
Baby Accessories,Baby,Accessories,Retail Stores,42259.75,34361.79,7897.96
Boys Bottoms,Boys,Bottoms,Wholesale,63590.45,55929.64,7660.81
Boys Sets,Boys,Sets,Retail Stores,41212.44,33746.4,7466.04
Baby Sets,Baby,Sets,Retail Stores,39973.29,33243.4,6729.89
Boys Swim,Boys,Swim,Wholesale,39821.13,33953.15,5867.98
Women Bottoms,Women,Bottoms,Retail Stores,35112.23,29338.85,5773.38
Women Bottoms,Women,Bottoms,Wholesale,25428.18,19985.27,5442.91
Women Tops,Women,Tops,Wholesale,38894.55,33516.76,5377.79
Boys Sets,Boys,Sets,Wholesale,30105.94,24744.76,5361.18
Women Sleepwear,Women,Sleepwear,Retail Stores,28882.93,24091.45,4791.48
Girls Outerwear,Girls,Outerwear,Retail Stores,23792.97,19032.46,4760.51
Women Dresses,Women,Dresses,Wholesale,32172.66,27454.07,4718.59
Boys Sleepwear,Boys,Sleepwear,Wholesale,20018.85,15634.87,4383.98
Boys Sleepwear,Boys,Sleepwear,Retail Stores,28107.19,23772.85,4334.34
Baby Accessories,Baby,Accessories,Wholesale,28803.77,24485.19,4318.58
Baby Sets,Baby,Sets,Wholesale,27743.26,23588.12,4155.14
Women Sleepwear,Women,Sleepwear,Wholesale,18987.09,16034.1,2952.99
Girls Outerwear,Girls,Outerwear,Wholesale,16856.61,14153.67,2702.94
