otb.month_key,otb.fiscal_month,otb.fiscal_month_no,otb.channel,otb.plan_receipts_cost,otb.on_order_cost,otb.open_to_buy_cost
FY2026-07,Aug,7,Ecommerce,619989.02,619989.02,0
FY2026-07,Aug,7,Retail Stores,273039.15,273039.15,0
FY2026-07,Aug,7,Wholesale,12969.6,12969.6,0
FY2026-08,Sep,8,Ecommerce,433693.5,427692.18,6001.32
FY2026-08,Sep,8,Retail Stores,196311.01,192561.25,3749.76
FY2026-08,Sep,8,Wholesale,375866.18,371646.4,4219.78
FY2026-09,Oct,9,Ecommerce,1061465.09,937209.24,124255.85
FY2026-09,Oct,9,Retail Stores,481617.49,413092.81,68524.68
FY2026-09,Oct,9,Wholesale,605499.3,532400.1,73099.2
FY2026-10,Nov,10,Ecommerce,1642251.42,1254447.24,387804.18
FY2026-10,Nov,10,Retail Stores,742615.21,554335.78,188279.43
FY2026-10,Nov,10,Wholesale,112118,85661.49,26456.51
FY2026-11,Dec,11,Ecommerce,732992.87,479748.43,253244.44
FY2026-11,Dec,11,Retail Stores,337042.3,233056.31,103985.99
FY2026-11,Dec,11,Wholesale,70621.13,46099.95,24521.18
FY2026-12,Jan,12,Ecommerce,0,0,0
FY2026-12,Jan,12,Retail Stores,0,0,0
FY2026-12,Jan,12,Wholesale,251921.76,145039.87,106881.89
