merch_plan.dept_key,merch_plan.division,merch_plan.department,merch_plan.plan_version,merch_plan.fiscal_year,merch_plan.plan_sales_dollars,merch_plan.plan_receipts_cost,merch_plan.plan_gross_margin_dollars
Baby Accessories,Baby,Accessories,Current Plan,2024,555411.04,244313.29,279720.15
Baby Accessories,Baby,Accessories,Current Plan,2025,636641.84,281617.74,319846.81
Baby Accessories,Baby,Accessories,Current Plan,2026,724151.42,320640.94,365956.27
Baby Accessories,Baby,Accessories,Original Plan,2025,627751.59,277001.7,315702.81
Baby Accessories,Baby,Accessories,Original Plan,2026,740746.85,331200.81,369385.89
Baby Accessories,Baby,Accessories,Original Plan,2024,550659.27,244312.79,277362.2
Baby Rompers,Baby,Rompers,Current Plan,2024,1600643.21,699607.41,804389.91
Baby Rompers,Baby,Rompers,Current Plan,2026,2087387.24,917673.31,1056035.45
Baby Rompers,Baby,Rompers,Current Plan,2025,1810700.82,803590.74,908041.23
Baby Rompers,Baby,Rompers,Original Plan,2025,1793575.91,794448.72,902852.62
Baby Rompers,Baby,Rompers,Original Plan,2024,1573312.23,693215.42,795648.47
Baby Rompers,Baby,Rompers,Original Plan,2026,2116419.61,930322.7,1069578.71
Baby Sets,Baby,Sets,Current Plan,2024,530123.95,231123.46,265792.15
Baby Sets,Baby,Sets,Current Plan,2026,708553.83,317147.97,356192.17
Baby Sets,Baby,Sets,Current Plan,2025,600293.18,265895.82,300814.53
Baby Sets,Baby,Sets,Original Plan,2024,524437.43,233417.59,265773.12
Baby Sets,Baby,Sets,Original Plan,2026,705473.22,313263.5,353184.71
Baby Sets,Baby,Sets,Original Plan,2025,597858.63,260416.91,301744.95
Baby Sleepwear,Baby,Sleepwear,Current Plan,2026,1633466.46,710169,823150.19
Baby Sleepwear,Baby,Sleepwear,Current Plan,2025,1509818.62,670342.07,757661.23
Baby Sleepwear,Baby,Sleepwear,Current Plan,2024,1323494.99,586130.83,668832.3
Baby Sleepwear,Baby,Sleepwear,Original Plan,2024,1311093.51,579831.43,658537.78
Baby Sleepwear,Baby,Sleepwear,Original Plan,2026,1763683,770692.14,888143.8
Baby Sleepwear,Baby,Sleepwear,Original Plan,2025,1494646.61,660705.06,749806.06
Boys Bottoms,Boys,Bottoms,Current Plan,2024,1235867.58,544849.98,622613.23
Boys Bottoms,Boys,Bottoms,Current Plan,2026,1635221.71,721685.19,817623.16
Boys Bottoms,Boys,Bottoms,Current Plan,2025,1404892.34,616749.01,706896.26
Boys Bottoms,Boys,Bottoms,Original Plan,2024,1223687.27,543009.09,615270.38
Boys Bottoms,Boys,Bottoms,Original Plan,2025,1395003.5,610041.19,700093.8
Boys Bottoms,Boys,Bottoms,Original Plan,2026,1646104.13,733733.55,822820.29
Boys Sets,Boys,Sets,Current Plan,2026,751473.64,332383.16,378069.97
Boys Sets,Boys,Sets,Current Plan,2024,529704.92,234731.63,266855.65
Boys Sets,Boys,Sets,Current Plan,2025,605836.03,266130.61,304135.89
Boys Sets,Boys,Sets,Original Plan,2025,597858.63,261704.01,300991.11
Boys Sets,Boys,Sets,Original Plan,2026,705473.22,315413.48,352878.29
Boys Sets,Boys,Sets,Original Plan,2024,524437.43,230973.22,264539.23
Boys Sleepwear,Boys,Sleepwear,Current Plan,2025,403097.83,180721.41,201659.26
Boys Sleepwear,Boys,Sleepwear,Current Plan,2026,502505.59,224689.05,251653.02
Boys Sleepwear,Boys,Sleepwear,Current Plan,2024,352387.93,154097.34,177548.57
Boys Sleepwear,Boys,Sleepwear,Original Plan,2025,398572.42,175473.62,199836.76
Boys Sleepwear,Boys,Sleepwear,Original Plan,2026,470315.45,206414.87,236039.52
Boys Sleepwear,Boys,Sleepwear,Original Plan,2024,349624.93,156657.45,175234.41
Boys Swim,Boys,Swim,Current Plan,2026,1008901.83,454484.26,505865.38
Boys Swim,Boys,Swim,Current Plan,2024,703960.52,305780.58,352153.02
Boys Swim,Boys,Swim,Current Plan,2025,810667.17,360085.39,408874.61
Boys Swim,Boys,Swim,Original Plan,2026,940630.92,419272.61,475477.18
Boys Swim,Boys,Swim,Original Plan,2024,699249.87,305882.41,352767.37
Boys Swim,Boys,Swim,Original Plan,2025,797144.85,349975.15,400185.07
Boys Tops,Boys,Tops,Current Plan,2025,2019575.92,890976.48,1014758.44
Boys Tops,Boys,Tops,Current Plan,2026,2347969.41,1039663.26,1185878.62
Boys Tops,Boys,Tops,Current Plan,2024,1772552.53,776714.67,895683.22
Boys Tops,Boys,Tops,Original Plan,2026,2351577.31,1049652.82,1181539.69
Boys Tops,Boys,Tops,Original Plan,2024,1748124.66,769317.42,880075.76
Boys Tops,Boys,Tops,Original Plan,2025,1992862.13,875260.85,1001080.59
Girls Bottoms,Girls,Bottoms,Current Plan,2025,2338807.45,1036883.34,1183677.18
Girls Bottoms,Girls,Bottoms,Current Plan,2024,2036485.51,892821.52,1027948.01
Girls Bottoms,Girls,Bottoms,Current Plan,2026,2883304.44,1279468.05,1453129.27
Girls Bottoms,Girls,Bottoms,Original Plan,2024,2022829.97,886658.97,1016775.19
Girls Bottoms,Girls,Bottoms,Original Plan,2026,2721110.89,1194338.41,1364571.97
Girls Bottoms,Girls,Bottoms,Original Plan,2025,2306026.14,1018228.61,1164584.02
Girls Dresses,Girls,Dresses,Current Plan,2026,7355192.86,3292742.09,3691478.99
Girls Dresses,Girls,Dresses,Current Plan,2025,6015227.86,2684876.59,3016771.87
Girls Dresses,Girls,Dresses,Current Plan,2024,5287365.02,2324536.75,2662846.47
Girls Dresses,Girls,Dresses,Original Plan,2025,5995668.06,2648822.53,3015600.53
Girls Dresses,Girls,Dresses,Original Plan,2024,5259357.94,2352372.55,2656578.59
Girls Dresses,Girls,Dresses,Original Plan,2026,7074888.32,3130939.03,3579378.35
Girls Outerwear,Girls,Outerwear,Current Plan,2026,423177.22,186068.74,213127.9
Girls Outerwear,Girls,Outerwear,Current Plan,2024,339743.24,147931.1,171894.88
Girls Outerwear,Girls,Outerwear,Current Plan,2025,387830.33,172912.64,194509.92
Girls Outerwear,Girls,Outerwear,Original Plan,2025,384337.71,170831.47,193584.83
Girls Outerwear,Girls,Outerwear,Original Plan,2024,337138.3,147506.31,170309.36
Girls Outerwear,Girls,Outerwear,Original Plan,2026,453518.49,201745.62,228303.13
Girls Sets,Girls,Sets,Current Plan,2025,2327605.93,1023981.6,1171920.9
Girls Sets,Girls,Sets,Current Plan,2026,2780487.1,1228104.1,1398920.04
Girls Sets,Girls,Sets,Current Plan,2024,2039316.51,898315.4,1023769.96
Girls Sets,Girls,Sets,Original Plan,2026,2721110.89,1183271.03,1364042.51
Girls Sets,Girls,Sets,Original Plan,2024,2022829.97,889875.17,1028421.24
Girls Sets,Girls,Sets,Original Plan,2025,2306026.14,1027826.28,1157445.91
Girls Sleepwear,Girls,Sleepwear,Current Plan,2025,2719677.8,1210606.01,1372898.85
Girls Sleepwear,Girls,Sleepwear,Current Plan,2026,3242198.36,1442311.32,1623919.24
Girls Sleepwear,Girls,Sleepwear,Current Plan,2024,2374596.14,1049931.87,1198396.89
