plan_vs_actual.month_key,plan_vs_actual.fiscal_year,plan_vs_actual.fiscal_month,plan_vs_actual.fiscal_month_no,plan_vs_actual.channel,plan_vs_actual.plan_sales_dollars,plan_vs_actual.budget_sales_dollars,plan_vs_actual.actual_sales_dollars,plan_vs_actual.plan_gross_margin_dollars,plan_vs_actual.actual_gross_margin_dollars
FY2024-01,2024,Feb,1,Ecommerce,890796.42,882491.92,900512.4,454740.24,457018.91
FY2024-01,2024,Feb,1,Retail Stores,405914.23,401132.7,393435,216738.02,204472.13
FY2024-01,2024,Feb,1,Wholesale,697968.35,692333.36,707956.35,320810.42,324046.86
FY2024-02,2024,Mar,2,Ecommerce,1272352.07,1264110.02,1264138.15,638343.49,634836.55
FY2024-02,2024,Mar,2,Retail Stores,579900.72,574595.5,584601.07,310355.53,309379.26
FY2024-02,2024,Mar,2,Wholesale,586619.85,580666.65,589614.67,270266.13,271464.85
FY2024-03,2024,Apr,3,Ecommerce,1431112.39,1407216.84,1432916.62,725036.8,704974.85
FY2024-03,2024,Apr,3,Retail Stores,646676.84,639644.03,647496.39,346671.99,340154.28
FY2024-03,2024,Apr,3,Wholesale,283447.78,276933.36,283434.98,130401.41,130126.35
FY2024-04,2024,May,4,Ecommerce,1301283.25,1299886.71,1248174.47,656549.27,616601.47
FY2024-04,2024,May,4,Retail Stores,595789.04,590857.57,601831.68,318209.15,317650.96
FY2024-04,2024,May,4,Wholesale,247346.97,245666.66,251660.89,113641.17,115252.49
FY2024-05,2024,Jun,5,Ecommerce,1191191.04,1180631.04,1228165.75,600636.2,612538.91
FY2024-05,2024,Jun,5,Retail Stores,542609.17,536650.5,544815.19,290231.14,283916.03
FY2024-05,2024,Jun,5,Wholesale,607431.4,602999.97,605366.49,280017.88,277861.73
FY2024-06,2024,Jul,6,Ecommerce,1009110.65,1001747.58,1020128.19,510438.69,492858.4
FY2024-06,2024,Jul,6,Retail Stores,462610.63,455339.79,461893.03,245674.48,242746.66
FY2024-06,2024,Jul,6,Wholesale,645243.72,634266.66,635730.03,296716.17,292724.59
FY2024-07,2024,Aug,7,Ecommerce,1054638.55,1049449.82,1036267.09,520121.76,491777.04
FY2024-07,2024,Aug,7,Retail Stores,485317.17,477022.66,468104.86,262373.77,250025.09
FY2024-07,2024,Aug,7,Wholesale,313166.15,312666.66,319583.21,144137.07,146687.6
FY2024-08,2024,Sep,8,Ecommerce,1149701.01,1132928.79,1224687.74,579648.49,606915.02
FY2024-08,2024,Sep,8,Retail Stores,518576.43,514967.64,532566.68,279089.43,282002.31
FY2024-08,2024,Sep,8,Wholesale,476451.69,468999.99,485195.59,218770.83,223102.06
FY2024-09,2024,Oct,9,Ecommerce,1201386.25,1192556.64,1157075.96,606157.11,564434.6
FY2024-09,2024,Oct,9,Retail Stores,542186.63,542071.2,528230.87,290631.61,277636.95
FY2024-09,2024,Oct,9,Wholesale,618022.35,616399.99,626623.67,283822.12,285829.24
FY2024-10,2024,Nov,10,Ecommerce,1737708.35,1717281.56,1747621.05,880549.38,859366.9
FY2024-10,2024,Nov,10,Retail Stores,796393.23,780582.54,803032.18,429066.81,428227.13
FY2024-10,2024,Nov,10,Wholesale,380886.98,379666.67,383163.67,175616.13,175654.65
FY2024-11,2024,Dec,11,Ecommerce,1860392.68,1860388.34,1822193,940979.66,907721.35
FY2024-11,2024,Dec,11,Retail Stores,848058.72,845631.06,872011.12,455238.41,460160.03
FY2024-11,2024,Dec,11,Wholesale,269945.25,267999.98,262331.22,124083.57,120013.23
FY2024-12,2024,Jan,12,Ecommerce,751639.5,751310.69,729083.88,379417.96,360013.86
FY2024-12,2024,Jan,12,Retail Stores,342163.62,341504.85,339337.79,182717.27,177148.12
FY2024-12,2024,Jan,12,Wholesale,284865.67,281399.98,289166.29,131252.53,132754.81
FY2025-01,2025,Feb,1,Ecommerce,1015237.85,1006040.77,1016629.35,512798.2,510108.66
FY2025-01,2025,Feb,1,Retail Stores,459438.48,457291.27,457882.7,245591.63,243153.78
FY2025-01,2025,Feb,1,Wholesale,798510.92,789259.98,782935.18,367381.54,360342.78
FY2025-02,2025,Mar,2,Ecommerce,1461829.34,1441085.45,1493761.4,737411.06,729520.21
FY2025-02,2025,Mar,2,Retail Stores,658093.3,655038.84,640868.1,349089.52,333728.04
FY2025-02,2025,Mar,2,Wholesale,674552.54,661960,668520.66,310287,306667.53
FY2025-03,2025,Apr,3,Ecommerce,1623688.75,1604227.2,1673887.93,817302.9,823094.05
FY2025-03,2025,Apr,3,Retail Stores,733162.83,729194.19,716971.48,391064.37,382903.99
FY2025-03,2025,Apr,3,Wholesale,319381.29,315704.02,314689.2,147018.92,144442.24
FY2025-04,2025,May,4,Ecommerce,1494162.89,1481870.87,1494322.02,757152.26,746325.97
FY2025-04,2025,May,4,Retail Stores,688417.4,673577.64,689941.64,368881.3,360244.68
FY2025-04,2025,May,4,Wholesale,282591.34,280059.99,290296.81,130154.81,133491.64
FY2025-05,2025,Jun,5,Ecommerce,1352867.92,1345919.39,1272382.81,675042.54,612095.03
FY2025-05,2025,Jun,5,Retail Stores,616345.5,611781.55,619493.56,328022.45,323420.38
FY2025-05,2025,Jun,5,Wholesale,693938.31,687420,713954.8,319359.09,327349.49
FY2025-06,2025,Jul,6,Ecommerce,1146005.09,1141992.22,1108398.16,582080.12,542221.23
FY2025-06,2025,Jul,6,Retail Stores,521856.73,519087.39,533487.28,280409.47,279435.6
FY2025-06,2025,Jul,6,Wholesale,726247.6,723063.99,725668.28,334143.39,332163.61
FY2025-07,2025,Aug,7,Ecommerce,1202304.65,1196372.8,1208977.83,607211.35,601416.05
FY2025-07,2025,Aug,7,Retail Stores,548353.79,543805.83,555274.72,293114.46,291557.16
FY2025-07,2025,Aug,7,Wholesale,361559.32,356440,354333.63,166404.81,162751.45
FY2025-08,2025,Sep,8,Ecommerce,1292652.97,1291538.83,1252592.75,655031.59,619874.7
FY2025-08,2025,Sep,8,Retail Stores,587257.05,587063.13,594478.62,313914.7,315992.61
FY2025-08,2025,Sep,8,Wholesale,538917.39,534660.02,553979.35,247437.04,252371.09
FY2025-09,2025,Oct,9,Ecommerce,1366261.13,1359514.58,1337588.22,689954.96,668181.52
FY2025-09,2025,Oct,9,Retail Stores,625808.88,617961.16,644032.25,335416.84,339950.68
FY2025-09,2025,Oct,9,Wholesale,710552.78,702696.01,708381.95,326608.24,325292.94
FY2025-10,2025,Nov,10,Ecommerce,1984944.02,1957700.96,2047853.18,1006171.07,988823.56
FY2025-10,2025,Nov,10,Retail Stores,884975.69,889864.1,848133.65,473054.23,441328.58
FY2025-10,2025,Nov,10,Wholesale,435341.4,432819.98,442866.88,200303.6,203261.6
FY2025-11,2025,Dec,11,Ecommerce,2155135.25,2120842.72,2167405.36,1082770.28,1044341.27
FY2025-11,2025,Dec,11,Retail Stores,976793.91,964019.39,980231.04,523553.97,520416.72
FY2025-11,2025,Dec,11,Wholesale,308414.78,305520,301660.79,141815.36,138463.29
FY2025-12,2025,Jan,12,Ecommerce,866356.14,856494.18,882265.03,433039.53,420945.47
FY2025-12,2025,Jan,12,Retail Stores,392961.47,389315.52,403380.13,209960.2,214717.34
FY2025-12,2025,Jan,12,Wholesale,322100.12,320796,323597.7,148283.54,148716.19
FY2026-01,2026,Feb,1,Ecommerce,1182876.91,1187128.12,1165301.23,592561.63,574046.36
FY2026-01,2026,Feb,1,Retail Stores,544745.85,539603.68,530420.89,291149.09,283786.15
FY2026-01,2026,Feb,1,Wholesale,931163.88,931326.78,975507.68,428870.24,448105.84
FY2026-02,2026,Mar,2,Ecommerce,1700100.14,1700480.81,1638645.77,845435.05,797555.83
FY2026-02,2026,Mar,2,Retail Stores,776138.85,772945.81,830439.62,415248.06,436478.99
FY2026-02,2026,Mar,2,Wholesale,779861.4,781112.8,768718.59,358544.85,352730.07
FY2026-03,2026,Apr,3,Ecommerce,1889500.98,1892988.08,1848641.95,961612.2,903103.63
FY2026-03,2026,Apr,3,Retail Stores,859037.31,860449.12,878827.01,460077.65,460206.35
FY2026-03,2026,Apr,3,Wholesale,373864.07,372530.71,382144.04,172184.45,175342.52
FY2026-04,2026,May,4,Ecommerce,1748868.74,1748607.62,1812231.4,880581.23,896282.02
FY2026-04,2026,May,4,Retail Stores,794795.4,794821.67,755430.33,425335.95,394356.53
FY2026-04,2026,May,4,Wholesale,332701.53,330470.81,339750.51,153143.13,155868.41
FY2026-05,2026,Jun,5,Ecommerce,1585757.78,1588184.89,1610166.75,792671.74,772947.35
FY2026-05,2026,Jun,5,Retail Stores,718420.41,721902.24,758208.68,383562.97,395881.26
FY2026-05,2026,Jun,5,Wholesale,812893.53,811155.61,796414.7,373807.72,365473.14
FY2026-06,2026,Jul,6,Ecommerce,1346101.39,1347550.83,1320013.58,676730.53,664276.68
FY2026-06,2026,Jul,6,Retail Stores,614130.05,612523.12,617397.3,328707.73,320463
FY2026-06,2026,Jul,6,Wholesale,857490.19,853215.53,889392.06,394671.83,408040.33
FY2026-07,2026,Aug,7,Ecommerce,1418255.01,1411719.92,,714813,
FY2026-07,2026,Aug,7,Retail Stores,645060.82,641690.88,,343729.94,
FY2026-07,2026,Aug,7,Wholesale,418208.24,420599.19,,192335.12,
FY2026-08,2026,Sep,8,Ecommerce,1523129.42,1524015.82,,759814.15,
FY2026-08,2026,Sep,8,Retail Stores,694139.8,692734.49,,368916.57,
FY2026-08,2026,Sep,8,Wholesale,634333.94,630898.78,,292070.97,
FY2026-09,2026,Oct,9,Ecommerce,1609006.39,1604227.2,,816733.38,
FY2026-09,2026,Oct,9,Retail Stores,728131.13,729194.19,,389479.84,
FY2026-09,2026,Oct,9,Wholesale,828555.9,829181.29,,381155.96,
FY2026-10,2026,Nov,10,Ecommerce,2314371.97,2310087.17,,1166129.21,
FY2026-10,2026,Nov,10,Retail Stores,1044566.52,1050039.62,,561750.5,
FY2026-10,2026,Nov,10,Wholesale,508984.43,510727.59,,233885.29,
FY2026-11,2026,Dec,11,Ecommerce,2500784.82,2502594.4,,1270455.09,
FY2026-11,2026,Dec,11,Retail Stores,1148423.65,1137542.92,,611387.16,
FY2026-11,2026,Dec,11,Wholesale,360706.08,360513.57,,166238.96,
FY2026-12,2026,Jan,12,Ecommerce,1003518.89,1010663.12,,501727.71,
FY2026-12,2026,Jan,12,Retail Stores,459653.76,459392.37,,246979.57,
FY2026-12,2026,Jan,12,Wholesale,379384.87,378539.26,,174603.2,
