otb.month_key,otb.fiscal_month,otb.channel,otb.dept_key,otb.division,otb.department,otb.lead_time_weeks,otb.po_placement_by,otb.po_status,otb.days_past_placement,otb.status_rank,otb.plan_receipts_cost,otb.on_order_cost,otb.open_to_buy_cost
FY2026-07,Aug,Wholesale,Women Sleepwear,Women,Sleepwear,16,2026-04-12,Past due,117,1,0,0,0
FY2026-07,Aug,Wholesale,Girls Tops,Girls,Tops,16,2026-04-12,Past due,117,1,0,0,0
FY2026-07,Aug,Wholesale,Boys Tops,Boys,Tops,15,2026-04-19,Past due,110,1,0,0,0
FY2026-07,Aug,Wholesale,Baby Accessories,Baby,Accessories,14,2026-04-26,Past due,103,1,0,0,0
FY2026-07,Aug,Wholesale,Baby Sets,Baby,Sets,14,2026-04-26,Past due,103,1,0,0,0
FY2026-07,Aug,Wholesale,Boys Sets,Boys,Sets,13,2026-05-03,Past due,96,1,0,0,0
FY2026-07,Aug,Wholesale,Girls Sets,Girls,Sets,13,2026-05-03,Past due,96,1,0,0,0
FY2026-08,Sep,Wholesale,Girls Tops,Girls,Tops,16,2026-05-10,Past due,89,1,37200.9,35412.88,1788.02
FY2026-08,Sep,Wholesale,Women Sleepwear,Women,Sleepwear,16,2026-05-10,Past due,89,1,4999.41,4715.27,284.14
FY2026-08,Sep,Retail Stores,Boys Bottoms,Boys,Bottoms,14,2026-05-24,Past due,75,1,5368.27,5186.6,181.67
FY2026-08,Sep,Wholesale,Boys Swim,Boys,Swim,14,2026-05-24,Past due,75,1,10897.16,10491.15,406.01
FY2026-08,Sep,Retail Stores,Baby Rompers,Baby,Rompers,14,2026-05-24,Past due,75,1,9851.24,9013.5,837.74
FY2026-08,Sep,Ecommerce,Baby Sets,Baby,Sets,14,2026-05-24,Past due,75,1,8324.54,7761.24,563.3
FY2026-08,Sep,Retail Stores,Girls Sets,Girls,Sets,13,2026-05-31,Past due,68,1,11304.35,10159.84,1144.51
FY2026-08,Sep,Ecommerce,Girls Sets,Girls,Sets,13,2026-05-31,Past due,68,1,28671.71,27188.62,1483.09
FY2026-08,Sep,Retail Stores,Baby Sleepwear,Baby,Sleepwear,12,2026-06-07,Past due,61,1,9251.15,8957.25,293.9
FY2026-08,Sep,Wholesale,Baby Sleepwear,Baby,Sleepwear,12,2026-06-07,Past due,61,1,18045.3,17295.35,749.95
FY2026-08,Sep,Ecommerce,Baby Sleepwear,Baby,Sleepwear,12,2026-06-07,Past due,61,1,22117.59,20772.59,1345
FY2026-09,Oct,Wholesale,Girls Tops,Girls,Tops,16,2026-06-14,Past due,54,1,63775.22,53244.02,10531.2
FY2026-09,Oct,Wholesale,Girls Bottoms,Girls,Bottoms,16,2026-06-14,Past due,54,1,49001.53,43902.27,5099.26
FY2026-09,Oct,Retail Stores,Women Sleepwear,Women,Sleepwear,16,2026-06-14,Past due,54,1,6048.34,5170.78,877.56
FY2026-09,Oct,Retail Stores,Girls Tops,Girls,Tops,16,2026-06-14,Past due,54,1,47572.68,38656.54,8916.14
FY2026-09,Oct,Ecommerce,Girls Tops,Girls,Tops,16,2026-06-14,Past due,54,1,110577.53,104593.88,5983.65
FY2026-09,Oct,Ecommerce,Women Sleepwear,Women,Sleepwear,16,2026-06-14,Past due,54,1,14834.95,12750.14,2084.81
FY2026-09,Oct,Retail Stores,Girls Bottoms,Girls,Bottoms,16,2026-06-14,Past due,54,1,37292.81,32971.69,4321.12
FY2026-09,Oct,Ecommerce,Girls Bottoms,Girls,Bottoms,16,2026-06-14,Past due,54,1,84584.26,69733.04,14851.22
FY2026-09,Oct,Wholesale,Women Sleepwear,Women,Sleepwear,16,2026-06-14,Past due,54,1,7848.3,7183.48,664.82
FY2026-09,Oct,Ecommerce,Boys Tops,Boys,Tops,15,2026-06-21,Past due,47,1,67438.96,62159.11,5279.85
FY2026-09,Oct,Wholesale,Women Bottoms,Women,Bottoms,15,2026-06-21,Past due,47,1,10714.56,8469.6,2244.96
FY2026-09,Oct,Ecommerce,Women Dresses,Women,Dresses,15,2026-06-21,Past due,47,1,22947.18,19604.54,3342.64
