style_month.style_key,style_month.style_name,style_month.print_name,style_month.division,style_month.department,style_month.dept_key,style_month.class_name,style_month.season,style_month.lifecycle,style_month.channel,style_month.fiscal_year,style_month.units_sold,style_month.sales_dollars,style_month.on_hand_units,style_month.on_order_units
ST-0085,Strawberry Fields Maxi Dress,Strawberry Fields,Women,Dresses,Women Dresses,Maxi Dress,Summer,New,Ecommerce,2026,1860,289976.29,2826,1466
ST-0087,Ditsy Rose Day Dress,Ditsy Rose,Women,Dresses,Women Dresses,Day Dress,Spring,New,Ecommerce,2025,1839,242947.11,2974,1865
ST-0086,Autumn Gingham Maxi Dress,Autumn Gingham,Women,Dresses,Women Dresses,Maxi Dress,Fall,New,Ecommerce,2025,1452,224871.19,2076,643
ST-0088,Nantucket Stripe Day Dress,Nantucket Stripe,Women,Dresses,Women Dresses,Day Dress,Summer,New,Ecommerce,2025,1559,220231.69,2102,721
ST-0085,Strawberry Fields Maxi Dress,Strawberry Fields,Women,Dresses,Women Dresses,Maxi Dress,Summer,New,Ecommerce,2025,1347,200590.49,1479,688
ST-0086,Autumn Gingham Maxi Dress,Autumn Gingham,Women,Dresses,Women Dresses,Maxi Dress,Fall,New,Ecommerce,2026,1248,196675.47,2390,1946
ST-0001,Snowdrop Party Dress,Snowdrop,Girls,Dresses,Girls Dresses,Party Dress,Holiday,New,Ecommerce,2026,1936,170030.63,3438,1578
ST-0087,Ditsy Rose Day Dress,Ditsy Rose,Women,Dresses,Women Dresses,Day Dress,Spring,New,Ecommerce,2026,1268,161608.14,2276,1048
ST-0084,Tulip Garden Maxi Dress,Tulip Garden,Women,Dresses,Women Dresses,Maxi Dress,Spring,New,Ecommerce,2025,1079,157014.71,2108,1351
ST-0005,Palm Frond Maxi Dress,Palm Frond,Girls,Dresses,Girls Dresses,Maxi Dress,Summer,New,Ecommerce,2025,1779,151781.48,3013,1957
